"Date","Flow"
1974-02-27,1354.9515
1974-02-28,1033.278
1974-03-01,867.625
1974-03-02,1213.2441
1974-03-03,2839.1293
1974-03-04,2413.6042
1974-03-05,3763.7315
1974-03-06,5829.6803
1974-03-07,4609.6475
1974-03-08,4678.5659
1974-03-09,3528.1233
1974-03-10,2641.9594
1974-03-11,2016.1189
1974-03-12,2177.1401
1974-03-13,1872.7834
1974-03-14,1504.9058
1974-03-15,1202.8475
1974-03-16,953.6619
1974-03-17,774.4544
1974-03-18,622.1185
1974-03-19,525.5493
1974-03-20,494.7861
1974-03-21,474.9172
1974-03-22,484.9089
1974-03-23,534.5531
1974-03-24,633.7828
1974-03-25,932.9738
1974-03-26,1742.4719
1974-03-27,3111.8432
1974-03-28,3663.5124
1974-03-29,2887.0999
1974-03-30,1723.0893
1974-03-31,1176.2465
1974-04-01,878.5475
1974-04-02,685.1903
1974-04-03,569.831
1974-04-04,490.442
1974-04-05,419.0504
1974-04-06,372.6449
1974-04-07,330.9475
1974-04-08,293.1118
1974-04-09,262.8457
1974-04-10,240.501
1974-04-11,218.0815
1974-04-12,204.5915
1974-04-13,190.2086
1974-04-14,176.31
1974-04-15,163.6349
1974-04-16,151.2055
1974-04-17,136.3785
1974-04-18,134.7061
1974-04-19,132.37
1974-04-20,129.3936
1974-04-21,125.27
1974-04-22,123.3005
1974-04-23,123.1698
1974-04-24,123.6936
1974-04-25,124.8739
1974-04-26,123.8242
1974-04-27,143.9835
1974-04-28,206.571
1974-04-29,201.6972
1974-04-30,182.0952
1974-05-01,176.0882
1974-05-02,164.1045
1974-05-03,155.6878
1974-05-04,154.006
1974-05-05,148.9415
1974-05-06,139.8712
1974-05-07,125.798
1974-05-08,116.8173
1974-05-09,100.174
1974-05-10,96.8311
1974-05-11,95.224
1974-05-12,94.6986
1974-05-13,93.2529
1974-05-14,91.9861
1974-05-15,85.6378
1974-05-16,77.3363
1974-05-17,76.2638
1974-05-18,74.679
1974-05-19,73.3229
1974-05-20,72.88
1974-05-21,71.6618
1974-05-22,70.5942
1974-05-23,66.7461
1974-05-24,65.2719
1974-05-25,65.7726
1974-05-26,68.0782
1974-05-27,67.9904
1974-05-28,68.0794
1974-05-29,75.0988
1974-05-30,84.9858
1974-05-31,95.2251
1974-06-01,127.5393
1974-06-02,128.8722
1974-06-03,109.9212
1974-06-04,88.4242
1974-06-05,80.5321
1974-06-06,66.9462
1974-06-07,61.5638
1974-06-08,57.4649
1974-06-09,54.2993
1974-06-10,50.6206
1974-06-11,48.4434
1974-06-12,48.0162
1974-06-13,47.0889
1974-06-14,46.7573
1974-06-15,45.846
1974-06-16,45.5201
1974-06-17,44.1576
1974-06-18,42.329
1974-06-19,41.9386
1974-06-20,41.0951
1974-06-21,40.7922
1974-06-22,39.9587
1974-06-23,39.8794
1974-06-24,39.6609
1974-06-25,38.8426
1974-06-26,38.7647
1974-06-27,38.5502
1974-06-28,37.747
1974-06-29,37.6705
1974-06-30,37.6705
1974-07-01,37.6705
1974-07-02,37.6705
1974-07-03,37.2527
1974-07-04,35.6939
1974-07-05,35.5463
1974-07-06,35.1434
1974-07-07,33.6408
1974-07-08,33.4986
1974-07-09,33.3043
1974-07-10,32.5766
1974-07-11,32.3162
1974-07-12,31.6005
1974-07-13,31.3227
1974-07-14,30.4769
1974-07-15,30.1462
1974-07-16,29.2422
1974-07-17,29.1564
1974-07-18,29.1564
1974-07-19,29.1564
1974-07-20,28.921
1974-07-21,28.0417
1974-07-22,27.9583
1974-07-23,27.7301
1974-07-24,26.8779
1974-07-25,26.797
1974-07-26,26.5766
1974-07-27,25.7532
1974-07-28,25.6751
1974-07-29,25.461
1974-07-30,24.661
1974-07-31,24.5851
1974-08-01,24.3777
1974-08-02,23.6031
1974-08-03,23.5297
1974-08-04,23.3289
1974-08-05,22.5792
1974-08-06,22.3145
1974-08-07,21.5913
1974-08-08,21.3348
1974-08-09,20.6332
1974-08-10,20.5667
1974-08-11,20.5667
1974-08-12,20.385
1974-08-13,19.7067
1974-08-14,19.4674
1974-08-15,18.8138
1974-08-16,18.5823
1974-08-17,17.949
1974-08-18,17.7252
1974-08-19,17.1138
1974-08-20,17.0558
1974-08-21,17.0558
1974-08-22,16.8982
1974-08-23,16.3098
1974-08-24,16.4096
1974-08-25,16.9988
1974-08-26,17.2175
1974-08-27,17.9972
1974-08-28,18.6906
1974-08-29,19.2827
1974-08-30,27.234
1974-08-31,51.0752
1974-09-01,53.2641
1974-09-02,52.2717
1974-09-03,47.686
1974-09-04,30.6124
1974-09-05,24.9733
1974-09-06,26.1568
1974-09-07,31.9649
1974-09-08,32.5073
1974-09-09,32.5073
1974-09-10,32.1274
1974-09-11,30.3156
1974-09-12,28.776
1974-09-13,26.7393
1974-09-14,25.3291
1974-09-15,23.2807
1974-09-16,21.6609
1974-09-17,21.5227
1974-09-18,21.3348
1974-09-19,20.4515
1974-09-20,19.5317
1974-09-21,18.8138
1974-09-22,18.7519
1974-09-23,18.7519
1974-09-24,18.4163
1974-09-25,17.1725
1974-09-26,17.0558
1974-09-27,17.0558
1974-09-28,17.0558
1974-09-29,16.8982
1974-09-30,16.3098
1974-10-01,16.1015
1974-10-02,15.2417
1974-10-03,14.112
1974-10-04,14.0112
1974-10-05,13.8746
1974-10-06,13.3648
1974-10-07,13.185
1974-10-08,12.4443
1974-10-09,11.3427
1974-10-10,10.6399
1974-10-11,10.1219
1974-10-12,10.0775
1974-10-13,10.0775
1974-10-14,9.9565
1974-10-15,9.506
1974-10-16,9.4635
1974-10-17,9.4635
1974-10-18,9.4635
1974-10-19,9.4635
1974-10-20,9.4635
1974-10-21,9.4635
1974-10-22,9.5823
1974-10-23,9.9126
1974-10-24,9.506
1974-10-25,9.3483
1974-10-26,8.81
1974-10-27,8.3625
1974-10-28,8.2197
1974-10-29,7.7323
1974-10-30,7.3267
1974-10-31,7.198
1974-11-01,6.7593
1974-11-02,6.2273
1974-11-03,5.7431
1974-11-04,6.2171
1974-11-05,5.9628
1974-11-06,5.8529
1974-11-07,5.5544
1974-11-08,5.4506
1974-11-09,5.169
1974-11-10,5.1425
1974-11-11,5.1425
1974-11-12,5.1425
1974-11-13,5.1425
1974-11-14,5.541
1974-11-15,8.6255
1974-11-16,16.8834
1974-11-17,27.4928
1974-11-18,34.6319
1974-11-19,36.0238
1974-11-20,38.1324
1974-11-21,66.5983
1974-11-22,65.6939
1974-11-23,73.9922
1974-11-24,81.7265
1974-11-25,64.0274
1974-11-26,51.5285
1974-11-27,43.9122
1974-11-28,38.1124
1974-11-29,33.2809
1974-11-30,29.9116
1974-12-01,26.605
1974-12-02,24.1284
1974-12-03,21.1799
1974-12-04,18.6049
1974-12-05,17.1725
1974-12-06,17.0558
1974-12-07,17.0558
1974-12-08,17.0558
1974-12-09,17.5511
1974-12-10,19.1077
1974-12-11,17.6861
1974-12-12,16.2139
1974-12-13,15.2416
1974-12-14,13.8479
1974-12-15,12.498
1974-12-16,11.2029
1974-12-17,9.8155
1974-12-18,8.1386
1974-12-19,6.7409
1974-12-20,5.9129
1974-12-21,5.4787
1974-12-22,5.169
1974-12-23,5.1425
1974-12-24,5.9115
1974-12-25,11.3922
1974-12-26,21.6271
1974-12-27,28.3469
1974-12-28,44.754
1974-12-29,35.6687
1974-12-30,33.6001
1974-12-31,88.7896
1975-01-01,342.3363
1975-01-02,1987.2136
1975-01-03,1372.89
1975-01-04,1457.8178
1975-01-05,2089.7023
1975-01-06,1774.6145
1975-01-07,1603.0225
1975-01-08,1714.1924
1975-01-09,1466.2782
1975-01-10,1330.5305
1975-01-11,1569.9041
1975-01-12,1721.7156
1975-01-13,2396.9522
1975-01-14,3027.7427
1975-01-15,3887.6258
1975-01-16,4952.6577
1975-01-17,6462.0143
1975-01-18,6589.3138
1975-01-19,5761.15
1975-01-20,5068.2701
1975-01-21,3379.0254
1975-01-22,2261.1626
1975-01-23,1554.1435
1975-01-24,1148.1469
1975-01-25,915.5846
1975-01-26,693.351
1975-01-27,561.1308
1975-01-28,560.1825
1975-01-29,471.7127
1975-01-30,391.718
1975-01-31,358.425
1975-02-01,348.1862
1975-02-02,313.2232
1975-02-03,278.4188
1975-02-04,237.1731
1975-02-05,196.2967
1975-02-06,169.2093
1975-02-07,134.5989
1975-02-08,109.7285
1975-02-09,94.656
1975-02-10,81.4836
1975-02-11,74.1308
1975-02-12,67.3415
1975-02-13,61.412
1975-02-14,56.6057
1975-02-15,54.5861
1975-02-16,51.5739
1975-02-17,45.198
1975-02-18,43.2373
1975-02-19,41.7566
1975-02-20,40.5852
1975-02-21,40.7666
1975-02-22,42.7152
1975-02-23,46.1733
1975-02-24,45.5985
1975-02-25,41.6858
1975-02-26,38.9901
1975-02-27,130.1372
1975-02-28,586.7772
1975-03-01,536.8992
1975-03-02,348.192
1975-03-03,343.9122
1975-03-04,365.1225
1975-03-05,286.2124
1975-03-06,300.4111
1975-03-07,414.5145
1975-03-08,633.4637
1975-03-09,694.7074
1975-03-10,599.101
1975-03-11,509.8838
1975-03-12,443.401
1975-03-13,384.8127
1975-03-14,274.0256
1975-03-15,216.4542
1975-03-16,158.3296
1975-03-17,129.1125
1975-03-18,115.3081
1975-03-19,109.112
1975-03-20,102.4299
1975-03-21,118.767
1975-03-22,231.9059
1975-03-23,250.2411
1975-03-24,260.3205
1975-03-25,382.0952
1975-03-26,503.9583
1975-03-27,558.129
1975-03-28,532.7776
1975-03-29,422.8954
1975-03-30,337.2495
1975-03-31,269.9731
1975-04-01,579.9352
1975-04-02,1828.7971
1975-04-03,1448.2445
1975-04-04,1016.3358
1975-04-05,757.4898
1975-04-06,590.0894
1975-04-07,439.1261
1975-04-08,391.2767
1975-04-09,369.2389
1975-04-10,321.0873
1975-04-11,231.3965
1975-04-12,159.8097
1975-04-13,127.0414
1975-04-14,111.9967
1975-04-15,104.1629
1975-04-16,98.9209
1975-04-17,93.8706
1975-04-18,91.9141
1975-04-19,88.6156
1975-04-20,83.357
1975-04-21,78.5134
1975-04-22,73.891
1975-04-23,70.1767
1975-04-24,69.3136
1975-04-25,67.6113
1975-04-26,67.6588
1975-04-27,65.1141
1975-04-28,59.5053
1975-04-29,56.6277
1975-04-30,53.9846
1975-05-01,51.956
1975-05-02,50.9852
1975-05-03,49.2665
1975-05-04,47.5929
1975-05-05,50.2485
1975-05-06,47.9184
1975-05-07,45.2342
1975-05-08,41.46
1975-05-09,37.6777
1975-05-10,36.1342
1975-05-11,35.5198
1975-05-12,33.928
1975-05-13,31.7639
1975-05-14,31.2375
1975-05-15,29.7409
1975-05-16,28.6112
1975-05-17,27.1384
1975-05-18,25.383
1975-05-19,24.9879
1975-05-20,24.2201
1975-05-21,23.8536
1975-05-22,23.0652
1975-05-23,21.9868
1975-05-24,21.6439
1975-05-25,20.884
1975-05-26,19.6174
1975-05-27,17.8592
1975-05-28,17.5849
1975-05-29,16.924
1975-05-30,16.7246
1975-05-31,16.7246
1975-06-01,16.7246
1975-06-02,16.7246
1975-06-03,17.0182
1975-06-04,16.1465
1975-06-05,15.7039
1975-06-06,14.0938
1975-06-07,12.6831
1975-06-08,12.9786
1975-06-09,14.9955
1975-06-10,13.8728
1975-06-11,11.6861
1975-06-12,11.0785
1975-06-13,12.3794
1975-06-14,10.6986
1975-06-15,10.5808
1975-06-16,9.5478
1975-06-17,9.316
1975-06-18,9.316
1975-06-19,9.316
1975-06-20,9.316
1975-06-21,10.231
1975-06-22,10.6986
1975-06-23,10.4962
1975-06-24,9.554
1975-06-25,10.6718
1975-06-26,12.1698
1975-06-27,12.9278
1975-06-28,13.9486
1975-06-29,12.6856
1975-06-30,14.5485
1975-07-01,14.4798
1975-07-02,12.801
1975-07-03,10.9103
1975-07-04,8.6573
1975-07-05,8.374
1975-07-06,8.6307
1975-07-07,9.2006
1975-07-08,9.6861
1975-07-09,10.6986
1975-07-10,11.4469
1975-07-11,10.2385
1975-07-12,9.316
1975-07-13,9.316
1975-07-14,9.316
1975-07-15,9.316
1975-07-16,8.4454
1975-07-17,7.6344
1975-07-18,7.7438
1975-07-19,7.8269
1975-07-20,7.6344
1975-07-21,7.6295
1975-07-22,7.3647
1975-07-23,7.5555
1975-07-24,7.1392
1975-07-25,7.0501
1975-07-26,7.4176
1975-07-27,7.1915
1975-07-28,7.0212
1975-07-29,7.2259
1975-07-30,7.1026
1975-07-31,6.7624
1975-08-01,6.6249
1975-08-02,6.4884
1975-08-03,6.0126
1975-08-04,6.3186
1975-08-05,6.3557
1975-08-06,6.3557
1975-08-07,6.4156
1975-08-08,7
1975-08-09,6.877
1975-08-10,7.1464
1975-08-11,6.8467
1975-08-12,7.1863
1975-08-13,7.9294
1975-08-14,7.992
1975-08-15,7.3274
1975-08-16,6.6741
1975-08-17,6.7612
1975-08-18,6.5288
1975-08-19,6.5635
1975-08-20,6.7622
1975-08-21,7.0797
1975-08-22,7.103
1975-08-23,7.3368
1975-08-24,6.9498
1975-08-25,7.0267
1975-08-26,7.0354
1975-08-27,6.9127
1975-08-28,6.5245
1975-08-29,6.4919
1975-08-30,6.58
1975-08-31,6.1443
1975-09-01,6.3502
1975-09-02,6.1386
1975-09-03,6.3127
1975-09-04,6.2913
1975-09-05,5.7608
1975-09-06,5.595
1975-09-07,5.3763
1975-09-08,6.6575
1975-09-09,6.8829
1975-09-10,6.8516
1975-09-11,6.9735
1975-09-12,7.4534
1975-09-13,6.9585
1975-09-14,6.9645
1975-09-15,7.1512
1975-09-16,6.9799
1975-09-17,7.3161
1975-09-18,7.3585
1975-09-19,7.1882
1975-09-20,7.1882
1975-09-21,7.4547
1975-09-22,9.1514
1975-09-23,10.5395
1975-09-24,9.7724
1975-09-25,11.4539
1975-09-26,15.9985
1975-09-27,11.0011
1975-09-28,11.4007
1975-09-29,10.4353
1975-09-30,10.03
1975-10-01,9.09
1975-10-02,8.1568
1975-10-03,7.5801
1975-10-04,7.4116
1975-10-05,8.4968
1975-10-06,8.0986
1975-10-07,8.0541
1975-10-08,7.6406
1975-10-09,7.2433
1975-10-10,7.1882
1975-10-11,7.1882
1975-10-12,7.1882
1975-10-13,6.9364
1975-10-14,6.7962
1975-10-15,6.9014
1975-10-16,7.3737
1975-10-17,7.7194
1975-10-18,10.0732
1975-10-19,9.834
1975-10-20,9.0323
1975-10-21,9.4814
1975-10-22,15.1138
1975-10-23,18.1441
1975-10-24,99.8047
1975-10-25,191.0907
1975-10-26,123.8127
1975-10-27,158.1294
1975-10-28,288.2362
1975-10-29,310.6238
1975-10-30,203.5336
1975-10-31,135.9267
1975-11-01,115.277
1975-11-02,102.6401
1975-11-03,87.2743
1975-11-04,72.9768
1975-11-05,62.1336
1975-11-06,55.5615
1975-11-07,53.3455
1975-11-08,106.1573
1975-11-09,91.8374
1975-11-10,101.8033
1975-11-11,79.0951
1975-11-12,95.9587
1975-11-13,88.8557
1975-11-14,85.873
1975-11-15,82.052
1975-11-16,89.5652
1975-11-17,77.0391
1975-11-18,65.6023
1975-11-19,55.8998
1975-11-20,45.581
1975-11-21,36.7389
1975-11-22,32.356
1975-11-23,27.7274
1975-11-24,24.7548
1975-11-25,20.9025
1975-11-26,18.8373
1975-11-27,18.3174
1975-11-28,18.6527
1975-11-29,16.7211
1975-11-30,15.2808
1975-12-01,12.8018
1975-12-02,10.638
1975-12-03,8.5383
1975-12-04,7.5017
1975-12-05,7.6708
1975-12-06,7.3477
1975-12-07,7.1292
1975-12-08,6.8081
1975-12-09,6.9284
1975-12-10,7.3331
1975-12-11,26.0892
1975-12-12,546.0456
1975-12-13,860.4868
1975-12-14,634.8456
1975-12-15,773.737
1975-12-16,1308.3061
1975-12-17,716.782
1975-12-18,386.0774
1975-12-19,242.8951
1975-12-20,175.7416
1975-12-21,430.8736
1975-12-22,3156.2719
1975-12-23,2593.7827
1975-12-24,2731.2116
1975-12-25,1981.2096
1975-12-26,1270.5846
1975-12-27,1788.173
1975-12-28,2310.4172
1975-12-29,2352.1468
1975-12-30,2898.3261
1975-12-31,3308.9132
1976-01-01,2348.3221
1976-01-02,1974.469
1976-01-03,1648.2603
1976-01-04,1337.4101
1976-01-05,1121.1583
1976-01-06,974.5963
1976-01-07,891.4669
1976-01-08,806.9032
1976-01-09,755.4571
1976-01-10,632.4052
1976-01-11,474.4892
1976-01-12,347.9744
1976-01-13,254.2283
1976-01-14,185.3183
1976-01-15,386.156
1976-01-16,465.2032
1976-01-17,348.293
1976-01-18,554.5526
1976-01-19,507.8302
1976-01-20,413.8499
1976-01-21,944.6523
1976-01-22,1225.6003
1976-01-23,822.4146
1976-01-24,829.5362
1976-01-25,722.3908
1976-01-26,975.0928
1976-01-27,1070.4584
1976-01-28,801.308
1976-01-29,741.9601
1976-01-30,766.6594
1976-01-31,990.5337
1976-02-01,1061.2187
1976-02-02,1129.4456
1976-02-03,1839.0773
1976-02-04,2047.6131
1976-02-05,2625.8746
1976-02-06,2135.7
1976-02-07,2212.1078
1976-02-08,2242.9228
1976-02-09,3215.8305
1976-02-10,5651.414
1976-02-11,4383.2319
1976-02-12,2567.2379
1976-02-13,1745.9371
1976-02-14,1485.7012
1976-02-15,1967.8817
1976-02-16,2151.9111
1976-02-17,2181.1585
1976-02-18,1370.9936
1976-02-19,1065.9869
1976-02-20,831.3779
1976-02-21,708.8009
1976-02-22,594.0904
1976-02-23,490.7846
1976-02-24,423.0005
1976-02-25,382.6657
1976-02-26,320.1524
1976-02-27,287.9828
1976-02-28,267.4794
1976-02-29,248.6323
1976-03-01,284.4877
1976-03-02,317.6914
1976-03-03,311.1644
1976-03-04,612.7754
1976-03-05,2196.5288
1976-03-06,2580.6265
1976-03-07,1895.199
1976-03-08,1287.6094
1976-03-09,934.3743
1976-03-10,765.1197
1976-03-11,762.9514
1976-03-12,709.7352
1976-03-13,602.1541
1976-03-14,501.3718
1976-03-15,416.4854
1976-03-16,335.1619
1976-03-17,269.2726
1976-03-18,243.8581
1976-03-19,235.6826
1976-03-20,203.0997
1976-03-21,173.7456
1976-03-22,169.7268
1976-03-23,213.0545
1976-03-24,212.0302
1976-03-25,222.6398
1976-03-26,183.5348
1976-03-27,825.7827
1976-03-28,1679.8048
1976-03-29,1139.5264
1976-03-30,856.162
1976-03-31,688.0626
1976-04-01,570.438
1976-04-02,431.0776
1976-04-03,330.4109
1976-04-04,269.3596
1976-04-05,222.7995
1976-04-06,187.1778
1976-04-07,159.2566
1976-04-08,140.2348
1976-04-09,125.3957
1976-04-10,116.9808
1976-04-11,109.222
1976-04-12,99.659
1976-04-13,96.2787
1976-04-14,95.6122
1976-04-15,92.8078
1976-04-16,87.1545
1976-04-17,83.8346
1976-04-18,85.4041
1976-04-19,86.5105
1976-04-20,86.1938
1976-04-21,88.1035
1976-04-22,83.5279
1976-04-23,80.4386
1976-04-24,76.8082
1976-04-25,72.6726
1976-04-26,70.7884
1976-04-27,67.9378
1976-04-28,66.4361
1976-04-29,64.6905
1976-04-30,63.053
1976-05-01,64.5752
1976-05-02,64.6593
1976-05-03,59.1108
1976-05-04,54.953
1976-05-05,52.3476
1976-05-06,52.2824
1976-05-07,52.6311
1976-05-08,49.4803
1976-05-09,47.6676
1976-05-10,45.1926
1976-05-11,42.3713
1976-05-12,39.9921
1976-05-13,39.5428
1976-05-14,39.9818
1976-05-15,41.5782
1976-05-16,41.4888
1976-05-17,40.3328
1976-05-18,48.7665
1976-05-19,49.2828
1976-05-20,44.9847
1976-05-21,41.7139
1976-05-22,40.3777
1976-05-23,39.239
1976-05-24,37.4875
1976-05-25,36.0308
1976-05-26,34.3139
1976-05-27,33.4626
1976-05-28,34.2067
1976-05-29,33.6659
1976-05-30,31.8733
1976-05-31,31.2361
1976-06-01,31.7108
1976-06-02,32.5454
1976-06-03,33.891
1976-06-04,34.2582
1976-06-05,31.224
1976-06-06,26.3675
1976-06-07,26.3142
1976-06-08,27.3542
1976-06-09,25.9453
1976-06-10,24.0787
1976-06-11,23.7149
1976-06-12,24.2434
1976-06-13,25.4788
1976-06-14,23.6157
1976-06-15,23.1397
1976-06-16,22.9384
1976-06-17,24.8023
1976-06-18,24.5188
1976-06-19,23.6888
1976-06-20,23.2955
1976-06-21,23.2955
1976-06-22,23.2955
1976-06-23,23.2927
1976-06-24,22.8288
1976-06-25,22.8292
1976-06-26,22.6406
1976-06-27,24.0766
1976-06-28,25.1672
1976-06-29,22.9237
1976-06-30,19.8554
1976-07-01,20.2141
1976-07-02,23.0133
1976-07-03,24.538
1976-07-04,23.1073
1976-07-05,22.1725
1976-07-06,21.2087
1976-07-07,19.4397
1976-07-08,19.6222
1976-07-09,19.3454
1976-07-10,18.474
1976-07-11,17.9828
1976-07-12,17.6123
1976-07-13,16.4656
1976-07-14,16.1086
1976-07-15,15.859
1976-07-16,17.5887
1976-07-17,18.4894
1976-07-18,17.7253
1976-07-19,18.3974
1976-07-20,18.0109
1976-07-21,17.4119
1976-07-22,16.5772
1976-07-23,16.655
1976-07-24,15.5974
1976-07-25,15.763
1976-07-26,15.8641
1976-07-27,15.5804
1976-07-28,15.0924
1976-07-29,14.8326
1976-07-30,14.3478
1976-07-31,14.1302
1976-08-01,14.4263
1976-08-02,14.3765
1976-08-03,14.2426
1976-08-04,13.8045
1976-08-05,12.6683
1976-08-06,10.62
1976-08-07,10.2485
1976-08-08,10.8442
1976-08-09,10.8464
1976-08-10,10.4269
1976-08-11,9.6241
1976-08-12,9.3202
1976-08-13,8.5551
1976-08-14,8.1405
1976-08-15,8.5015
1976-08-16,8.4747
1976-08-17,7.7812
1976-08-18,7.2025
1976-08-19,6.6993
1976-08-20,7.2441
1976-08-21,7.0271
1976-08-22,6.8876
1976-08-23,6.2449
1976-08-24,6.1063
1976-08-25,5.7157
1976-08-26,5.6155
1976-08-27,6.4005
1976-08-28,6.53
1976-08-29,5.6934
1976-08-30,5.3181
1976-08-31,6.1336
1976-09-01,6.435
1976-09-02,5.8598
1976-09-03,5.8108
1976-09-04,5.6155
1976-09-05,5.6155
1976-09-06,5.6135
1976-09-07,5.3683
1976-09-08,5.5086
1976-09-09,6.163
1976-09-10,5.5316
1976-09-11,5.2093
1976-09-12,5.0669
1976-09-13,4.817
1976-09-14,4.6503
1976-09-15,4.1178
1976-09-16,3.9713
1976-09-17,3.6517
1976-09-18,3.467
1976-09-19,3.6726
1976-09-20,4.2694
1976-09-21,4.0521
1976-09-22,3.6797
1976-09-23,3.7713
1976-09-24,3.7713
1976-09-25,3.7325
1976-09-26,3.5031
1976-09-27,3.4654
1976-09-28,3.4288
1976-09-29,3.2129
1976-09-30,3.1774
1976-10-01,3.1431
1976-10-02,2.9408
1976-10-03,2.8756
1976-10-04,2.6868
1976-10-05,2.6558
1976-10-06,2.6558
1976-10-07,2.6258
1976-10-08,2.4489
1976-10-09,2.4199
1976-10-10,2.4199
1976-10-11,2.3919
1976-10-12,2.2269
1976-10-13,2.1998
1976-10-14,2.1998
1976-10-15,2.1496
1976-10-16,2.0208
1976-10-17,2.3118
1976-10-18,5.3052
1976-10-19,12.4033
1976-10-20,9.5889
1976-10-21,8.5576
1976-10-22,7.4948
1976-10-23,9.6437
1976-10-24,23.433
1976-10-25,17.4667
1976-10-26,14.5752
1976-10-27,243.8848
1976-10-28,110.7263
1976-10-29,79.4061
1976-10-30,56.9082
1976-10-31,52.2561
1976-11-01,85.4994
1976-11-02,111.645
1976-11-03,119.167
1976-11-04,134.9345
1976-11-05,75.2264
1976-11-06,45.0635
1976-11-07,30.5654
1976-11-08,29.7307
1976-11-09,24.593
1976-11-10,19.5545
1976-11-11,13.3864
1976-11-12,10.4926
1976-11-13,11.3947
1976-11-14,11.9638
1976-11-15,10.031
1976-11-16,12.1723
1976-11-17,12.6079
1976-11-18,11.4057
1976-11-19,10.327
1976-11-20,14.9686
1976-11-21,23.7165
1976-11-22,22.6196
1976-11-23,16.7365
1976-11-24,45.0135
1976-11-25,57.145
1976-11-26,64.7917
1976-11-27,74.5099
1976-11-28,60.9157
1976-11-29,49.7824
1976-11-30,37.4221
1976-12-01,31.1172
1976-12-02,31.0066
1976-12-03,79.1986
1976-12-04,77.9051
1976-12-05,45.3568
1976-12-06,38.6466
1976-12-07,46.4162
1976-12-08,45.8904
1976-12-09,34.8608
1976-12-10,27.6883
1976-12-11,24.1505
1976-12-12,32.358
1976-12-13,36.55
1976-12-14,54.4342
1976-12-15,66.589
1976-12-16,70.4329
1976-12-17,73.1013
1976-12-18,47.2857
1976-12-19,40.3271
1976-12-20,59.4167
1976-12-21,462.3205
1976-12-22,1718.59
1976-12-23,1644.8182
1976-12-24,2706.9971
1976-12-25,1209.3509
1976-12-26,785.0775
1976-12-27,488.2475
1976-12-28,516.0286
1976-12-29,402.0662
1976-12-30,330.5906
1976-12-31,312.9225
1977-01-01,237.0216
1977-01-02,199.8898
1977-01-03,109.162
1977-01-04,87.9508
1977-01-05,84.8813
1977-01-06,88.5731
1977-01-07,75.8029
1977-01-08,64.9734
1977-01-09,56.7095
1977-01-10,51.5719
1977-01-11,53.486
1977-01-12,53.0785
1977-01-13,46.7599
1977-01-14,42.0311
1977-01-15,43.6718
1977-01-16,73.2353
1977-01-17,69.2545
1977-01-18,69.3556
1977-01-19,98.2185
1977-01-20,88.5345
1977-01-21,76.7534
1977-01-22,59.7885
1977-01-23,45.6855
1977-01-24,49.47
1977-01-25,50.9579
1977-01-26,55.4221
1977-01-27,96.4601
1977-01-28,126.4851
1977-01-29,209.0898
1977-01-30,152.9911
1977-01-31,128.2239
1977-02-01,1245.4185
1977-02-02,1789.118
1977-02-03,1022.2802
1977-02-04,950.9514
1977-02-05,955.9605
1977-02-06,692.8782
